"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jimenez restaurant",60639,"Jimenez Restaurant",4.4,"",373.0,"OPERATIONAL","ChIJc13OSITMD4gRaXYAfXvCz3c","5716 W Diversey Ave, Chicago, IL 60639, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
"jimenez restaurant, incorporated",60639,"Jimenez Restaurant",4.4,"",373.0,"OPERATIONAL","ChIJc13OSITMD4gRaXYAfXvCz3c","5716 W Diversey Ave, Chicago, IL 60639, United States","['restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy buffett's margaritaville bar & grill",60611,"Margaritaville Restaurant - Chicago",3.6,2.0,1327.0,"OPERATIONAL","ChIJ2y7xkU0rDogR5qOTZYZF-PM","700 E Grand Ave #118, Chicago, IL 60611, United States","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60607,"Jimmy John's",3.9,1.0,139.0,"OPERATIONAL","ChIJ98xQs-MsDogRWgmrNNocExM","1133 W Taylor St, Chicago, IL 60607, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60640,"Jimmy John's",3.8,1.0,144.0,"OPERATIONAL","ChIJ3xW6Xy3SD4gRul25TvR2pcE","1148 W Wilson Ave, Chicago, IL 60640, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60605,"Jimmy John's",3.3,1.0,92.0,"OPERATIONAL","ChIJuXoaRpssDogRWp0NjV3EZv4","1250 S Michigan Ave, Chicago, IL 60605, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's",60661,"Jimmy John's",3.5,1.0,57.0,"OPERATIONAL","ChIJi_LaIMEsDogRqvYYEsEul3I","131 S Clinton St, Chicago, IL 60661, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60611,"Jimmy John's",3.7,1.0,83.0,"OPERATIONAL","ChIJiT_roKssDogRHi8Wbr_ii_k","205 E Ohio St, Chicago, IL 60611, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's",60606,"Jimmy John's",3.8,1.0,19.0,"OPERATIONAL","ChIJlbVunLksDogRcd3d65kNSgo","216 W Washington St, Chicago, IL 60606, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60606,"Jimmy John's",3.8,1.0,19.0,"OPERATIONAL","ChIJlbVunLksDogRcd3d65kNSgo","216 W Washington St, Chicago, IL 60606, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60604,"Jimmy John's",3.6,1.0,116.0,"OPERATIONAL","ChIJdTg8JKMsDogRGoUIJGHzuVg","247 S State St, Chicago, IL 60604, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's",60657,"Jimmy John's",3.1,1.0,71.0,"OPERATIONAL","ChIJPVm_SFbSD4gRz1-bwNkXv1Q","3041 N Lincoln Ave, Chicago, IL 60657, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60609,"Jimmy John's",3.8,1.0,167.0,"OPERATIONAL","ChIJGZ--5jAsDogR9aaPTh_paQE","974 W 35th Pl, Chicago, IL 60609, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60654,"Jimmy John's",3.4,1.0,60.0,"OPERATIONAL","ChIJBeNC5FLTD4gRYeyhiQZSODo","705 N State St, Chicago, IL 60654, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60611,"Jimmy John's",3.7,1.0,83.0,"OPERATIONAL","ChIJiT_roKssDogRHi8Wbr_ii_k","205 E Ohio St, Chicago, IL 60611, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60602,"Jimmy John's",3.8,1.0,89.0,"OPERATIONAL","ChIJ2WUVRK8sDogRopRINnuwNfc","225 Michigan Ave, Chicago, IL 60602, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60659,"Jimmy John's",3.6,1.0,122.0,"OPERATIONAL","ChIJcxaA-ObRD4gR3GnHcaLsshw","6108 N Western Ave Ste. 103, Chicago, IL 60659, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
