dba_name,address,zip,state
afro joe's coffee & tea,1818 w 99th st,60643,il
afro taste cuisine llc,1010 w argyle st,60640,il
after,1338 w fulton st,60607,il
"after school matters,inc",3401 3435 n cicero ave,60641,il
afterbar,320 s canal st,60606,il
afusion,3465 s morgan st,60608,il
afya food service management corporation,1132 s homan ave,60624,il
agami japanese restaurant,4706 4712 n broadway,60640,il
agave antojeria inc.,947 w wellington ave,60657,il
aglaia coffee and tea company,925 w chicago ave,60642,il
aguela's restaurant,3445 w 51st st,60632,il
ahjoomah's apron corp.,218 w cermak rd,60616,il
ain't she sweet cafe,526 e 43rd st,60653,il
ain't she sweet cafe beverly,9920 s western ave,60643,il
ajawaah sweets,2453 w devon ave,60659,il
akahoshi ramen,2340 n california ave,60647,il
akaytacos,7360 n clark st,60626,il
akilia cosina,116 n aberdeen st,60607,il
al diar restaurant,939 n orleans st,60610,il
al halal zaiqa,449 w north ave,60610,il
al kabeer restaurant,6426 n western ave,60645,il
al safa,3146 w touhy ave,60645,il
al safa restaurant llc,3146 w touhy ave,60645,il
al son de mi tierra restaurant inc.,4501 4503 w belmont ave,60641,il
al's beef,2804 n western ave,60618,il
al's beef,3420 n clark st,60657,il
al's beef restaurant,548 n wells st,60654,il
al's italian beef inc,1079 w taylor st,60607,il
al's pizza chicago,6344 6348 w irving park rd,60634,il
al's under the l,2908 w lake st,60612,il
alamo drafthouse cinemas,3519 n clark st,60657,il
alberto's pizza,1326 w morse ave,60626,il
alcoiris inc,4007 w armitage ave,60639,il
alebrijes cafe,3441 w lawrence ave,60625,il
alegre restaurant,2370 2372 n neva ave,60707,il
alegria's seafood,1024 n ashland ave,60622,il
alex la michoacana,4819 w diversey ave,60639,il
alex la michoacana #1,5420 w fullerton ave,60639,il
alexander's,6158 n clark st,60660,il
alexander's the great,4357 n western ave,60618,il
alfa food market & tobacco inc.,4855 s ashland ave,60609,il
alhambra palace restaurant,1240 w randolph st,60607,il
ali nihari llc,2548 2550 w devon ave,60659,il
alibaba cafe,4044 w lawrence ave,60630,il
alibaba retro,5211 n harlem ave,60656,il
alice & friends vegan kitchen,5812 n broadway,60660,il
alice's bar b que,65 e 43rd st,60653,il
alinea restaurant llc,1723 n halsted st,60614,il
all day kitchens,907 n damen ave,60622,il
"all n'family shrimp shack, llc",10341 s halsted st,60628,il
all star seafood & sports,730 s clark st,60605,il
all together now,2119 w chicago ave,60622,il
alla vita,564 w randolph st,60661,il
allende restaurant,2408 n lincoln ave,60614,il
allende restaurant #2,2221 n lincoln ave,60614,il
alley dogs inc,3700 n western ave,60618,il
allison's bistro,5731 n lincoln ave,60659,il
almendro cafe,5020 s cornell,60615,il
almost home tavern & grill,3801 3809 n clark st,60613,il
aloft hotel chicago city center,515 n clark st,60654,il
aloha grill hawaiian bbq inc.,2534 n clark st,60614,il
aloha hawaiian bbq,2825 w cermak rd,60623,il
aloha poke,163 w north ave,60610,il
aloha poke,222 w merchandise mart plz,60654,il
aloha poke,520 n michigan ave,60611,il
aloha poke belmont llc,843 w belmont ave,60657,il
aloha poke llc,131 n clinton st,60661,il
aloha poke madison,303 w madison st,60606,il
aloha wagon,2023 s western ave,60608,il
alpana,831 n state st,60610,il
alps original pancake house,3637 w irving park rd,60618,il
altar home,1858 w chicago ave,60622,il
althea by mkc,700 n michigan ave,60611,il
altitude chicago,404 n armour st,60642,il
alulu,2011 s laflin st,60608,il
always always cafe,655 w irving park rd,60613,il
always thai,1825 w irving park,60613,il
alynia zushi & karaoke lounge,3051 s archer ave,60608,il
amarind's restaurant,6822 w north ave,60707,il
amarit restaurant,600 s dearborn st,60605,il
amaru,1904 w north ave,60622,il
amatitlan llc,4053 n kedzie ave,60618,il
amato's pizzeria inc,1745 1747 n harlem ave,60707,il
amatos pizza,953 w willow st,60614,il
ambar chicago,700 n clark st,60654,il
ambassador chicago hotel and restaurant,1301 1309 n state pkwy,60610,il
amber  agave,1310 n milwaukee ave,60622,il
ambrosia foods #2,1229 n north branch st,60642,il
amc dine in theatres block 37,108 n state st fl,60602,il
amc new city 14,1500 n clybourn ave,60610,il
amc theatres 600 north michigan 9,600 n michigan ave,60611,il
amc theatres ford city 14,7601 s cicero ave,60652,il
amc theatres galewood 14,5530 w homer st,60639,il
amc theatres river east 21,322 e illinois st,60611,il
ameer tandoori kabab,2307 w devon ave,60659,il
america's dog,11601 w touhy ave,60666,il
america's dog,5700 s cicero ave,60638,il
america's dog inc,700 e grand ave,60611,il
america's dog o'hare,11601 w touhy ave,60666,il
american airlines,11601 w touhy ave,60666,il
american airlines admirals lounge,11601 w touhy ave,60666,il
american girl place,845 n michigan ave,60611,il
americana submarine,400 s clark st,60605,il
americano 1816,1800 n lincoln ave,60614,il
americanos,11060 s western ave,60643,il
americanos,6666 n northwest hwy,60631,il
amici,3933 n broadway,60613,il
amici,4630 n cumberland ave,60656,il
amigo's on madison,69 e madison st,60603,il
amor y tequila,2118 2122 w roscoe st,60618,il
amorino gelato,818 w fulton market bldg,60607,il
amorino gelato al naturale,38 s michigan,60603,il
amp cafe,555 w madison st,60661,il
amri juice bar,600 e grand ave,60611,il
"amstar fuel, mini mart, & tasty chicken",8058 s cottage grove ave,60619,il
amy's candy bar,4043 n ravenswood ave,60613,il
anatolia,2349 n clark st,60614,il
ancient grounds,1022 w belmont ave,60657,il
andhradarbar,2240 2242 w devon ave,60659,il
andiamo restaurant & pizzaria inc.,2814 1 2 n halsted st,60657,il
andies restaurant,5253 n clark st,60640,il
andina comfort food,2325 w taylor st,60612,il
andros taverna,2542 n milwaukee ave,60647,il
andy's frozen custard,5446 s mulligan ave,60638,il
andy's thai kitchen iii,950 w diversey pkwy,60614,il
andys 11 east lounge,11 e hubbard st,60611,il
andysunflower cafe,756 e 111th st,60628,il
anelya,3472 n elston ave,60618,il
angela's burrito style,2556 n clark st,60614,il
angela's tacos,5625 w diversey ave,60639,il
angelas burrito style,2556 n clark st,60614,il
angelina ristorante,3561 n broadway,60657,il
angelo's stuffed pizza corp,4850 s pulaski rd,60632,il
angelo's wine bar,3024 3026 w montrose ave,60618,il
angie's,8352 s pulaski rd,60652,il
